Common_Course_ID,has_prereq,Course_Dept,Course_Num,,
CIS471,Has pre-req,CIS,471,,
CIS472,Has pre-req,CIS,472,,
CIS473,Has pre-req,CIS,473,,
CIT281,Has pre-req,CIT,281,,
CIT381,Has pre-req,CIT,381,,
CIT382,Has pre-req,CIT,382,,
CIT383,Has pre-req,CIT,383,,
CRES441,Has pre-req,CRES,441,,
CRWR235,Has pre-req,CRWR,235,,
CRWR245,Has pre-req,CRWR,245,,
CRWR330,Has pre-req,CRWR,330,,
CRWR335,Has pre-req,CRWR,335,,
CRWR336,Has pre-req,CRWR,336,,
CRWR340,Has pre-req,CRWR,340,,
CRWR345,Has pre-req,CRWR,345,,
CRWR413,Has pre-req,CRWR,413,,
CRWR414,Has pre-req,CRWR,414,,
CRWR417,Has pre-req,CRWR,417,,
CRWR418,Has pre-req,CRWR,418,,
CRWR419,Has pre-req,CRWR,419,,
CRWR435,Has pre-req,CRWR,435,,
CRWR445,Has pre-req,CRWR,445,,
CS111,Has pre-req,CS,111,,
CS122,Has pre-req,CS,122,,
CS210,Has pre-req,CS,210,,
CS211,Has pre-req,CS,211,,
CS212,Has pre-req,CS,212,,
CS313,Has pre-req,CS,313,,
CS314,Has pre-req,CS,314,,
CS315,Has pre-req,CS,315,,
CS322,Has pre-req,CS,322,,
CS330,Has pre-req,CS,330,,
CS333,Has pre-req,CS,333,,
CS372M,Has pre-req,CS,372,,
CS401,Has pre-req,CS,401,,
CS402,Has pre-req,CS,402,,
CS403,Has pre-req,CS,403,,
CS404,Has pre-req,CS,404,,
CS405,Has pre-req,CS,405,,
CS407,Has pre-req,CS,407,,
CS413,Has pre-req,CS,413,,
CS415,Has pre-req,CS,415,,
CS420,Has pre-req,CS,420,,
CS422,Has pre-req,CS,422,,
CS423,Has pre-req,CS,423,,
CS425,Has pre-req,CS,425,,
CS429,Has pre-req,CS,429,,
CS431,Has pre-req,CS,431,,
CS432,Has pre-req,CS,432,,
CS433,Has pre-req,CS,433,,
CS434,Has pre-req,CS,434,,
CS436,Has pre-req,CS,436,,
CS441,Has pre-req,CS,441,,
CS443,Has pre-req,CS,443,,
CS451,Has pre-req,CS,451,,
CS461,Has pre-req,CS,461,,
CS471,Has pre-req,CS,471,,
CS472,Has pre-req,CS,472,,
DAN252,Has pre-req,DAN,252,,
DAN271,Has pre-req,DAN,271,,
DAN443,Has pre-req,DAN,443,,
DAN444,Has pre-req,DAN,444,,
DAN452,Has pre-req,DAN,452,,
DAN458,Has pre-req,DAN,458,,
DAN486,Has pre-req,DAN,486,,
DAN494,Has pre-req,DAN,494,,
DANC270,Has pre-req,DANC,270,,
DANC272,Has pre-req,DANC,272,,
DANC285,Has pre-req,DANC,285,,
DANC370,Has pre-req,DANC,370,,
DANC372,Has pre-req,DANC,372,,
DANE102,Has pre-req,DANE,102,,
DANE103,Has pre-req,DANE,103,,
DANE201,Has pre-req,DANE,201,,
DANE202,Has pre-req,DANE,202,,
DANE203,Has pre-req,DANE,203,,
DSC335,Has pre-req,DSC,335,,
DSC335H,Has pre-req,DSC,335,,
DSC433,Has pre-req,DSC,433,,
DSC444,Has pre-req,DSC,444,,
DSC466,Has pre-req,DSC,466,,
DSC477,Has pre-req,DSC,477,,
DSC488,Has pre-req,DSC,488,,
DSCI102,Has pre-req,DSCI,102,,
DSCI311,Has pre-req,DSCI,311,,
