Common_Course_ID,has_prereq
J452,Has pre-req
J453,Has pre-req
J454,Has pre-req
J456,Has pre-req
J457,Has pre-req
J458,Has pre-req
J459,Has pre-req
J460,Has pre-req
J461,Has pre-req
J462,Has pre-req
J463,Has pre-req
J464,Has pre-req
J466,Has pre-req
J467,Has pre-req
J468,Has pre-req
J472,Has pre-req
J473,Has pre-req
J474,Has pre-req
J475,Has pre-req
J477,Has pre-req
J478,Has pre-req
J483,Has pre-req
J494,Has pre-req
J495,Has pre-req
J496,Has pre-req
JPN102,Has pre-req
JPN103,Has pre-req
JPN201,Has pre-req
JPN202,Has pre-req
JPN203,Has pre-req
JPN301,Has pre-req
JPN302,Has pre-req
JPN303,Has pre-req
JPN305,Has pre-req
JPN306,Has pre-req
JPN307,Has pre-req
JPN315,Has pre-req
JPN411,Has pre-req
JPN412,Has pre-req
JPN413,Has pre-req
JPN414,Has pre-req
JPN415,Has pre-req
JPN416,Has pre-req
JPN434,Has pre-req
JPN435,Has pre-req
JPN436,Has pre-req
JPN437,Has pre-req
JPN441,Has pre-req
JPN455,Has pre-req
JPN490,Has pre-req
KRN102,Has pre-req
KRN103,Has pre-req
KRN201,Has pre-req
KRN202,Has pre-req
KRN203,Has pre-req
KRN301,Has pre-req
KRN302,Has pre-req
KRN303,Has pre-req
KRN315,Has pre-req
KRN411,Has pre-req
KRN412,Has pre-req
KRN413,Has pre-req
LA327,Has pre-req
LA439,Has pre-req
LA441,Has pre-req
LA465,Has pre-req
LA466,Has pre-req
LA475,Has pre-req
LA489,Has pre-req
LA499,Has pre-req
LAT102,Has pre-req
LAT103,Has pre-req
LAT302,Has pre-req
LAT303,Has pre-req
LING311,Has pre-req
LING312,Has pre-req
LING331,Has pre-req
LING411,Has pre-req
LING415,Has pre-req
LING416,Has pre-req
LING430,Has pre-req
LING432,Has pre-req
LING435,Has pre-req
LING450,Has pre-req
LING451,Has pre-req
LING452,Has pre-req
LING460,Has pre-req
LING491,Has pre-req
LING493,Has pre-req
LING495,Has pre-req
LT436,Has pre-req
LT437,Has pre-req
LT448,Has pre-req
LT449,Has pre-req
MATH101,Has pre-req
MATH105(Z),Has pre-req
MATH106,Has pre-req
MATH107,Has pre-req
MATH111(Z),Has pre-req
MATH111Z,Has pre-req
MATH112(Z),Has pre-req
MATH112Z,Has pre-req
MATH211,Has pre-req
MATH212,Has pre-req
MATH213,Has pre-req
MATH231,Has pre-req
MATH232,Has pre-req
MATH233,Has pre-req
MATH241,Has pre-req
MATH242,Has pre-req
MATH246,Has pre-req
MATH247,Has pre-req
MATH251,Has pre-req
MATH252,Has pre-req
MATH253,Has pre-req
MATH256,Has pre-req
MATH261,Has pre-req
MATH262,Has pre-req
MATH263,Has pre-req
MATH281,Has pre-req
MATH282,Has pre-req
MATH307,Has pre-req
MATH315,Has pre-req
MATH316,Has pre-req
MATH317,Has pre-req
MATH320,Has pre-req
MATH341,Has pre-req
MATH342,Has pre-req
MATH343,Has pre-req
MATH345M,Has pre-req
MATH346,Has pre-req
MATH347,Has pre-req
MATH348,Has pre-req
MATH351,Has pre-req
MATH352,Has pre-req
MATH391,Has pre-req
MATH392,Has pre-req
MATH393,Has pre-req
MATH394,Has pre-req
MATH395,Has pre-req
MATH397,Has pre-req
MATH411,Has pre-req
MATH412,Has pre-req
MATH413,Has pre-req
MATH414,Has pre-req
MATH415,Has pre-req
MATH420,Has pre-req
MATH421,Has pre-req
MATH421M,Has pre-req
MATH422,Has pre-req
MATH425,Has pre-req
MATH431,Has pre-req
MATH432,Has pre-req
MATH433,Has pre-req
MATH434,Has pre-req
MATH441,Has pre-req
MATH444,Has pre-req
MATH445,Has pre-req
MATH446,Has pre-req
MATH456,Has pre-req
MATH457,Has pre-req
MATH458,Has pre-req
MATH461,Has pre-req
MATH462,Has pre-req
MATH463,Has pre-req
MATH467,Has pre-req
MGMT311,Has pre-req
MGMT321,Has pre-req
MGMT335,Has pre-req
MGMT415,Has pre-req
MGMT416,Has pre-req
MGMT417,Has pre-req
MGMT420,Has pre-req
MGMT422,Has pre-req
MGMT443,Has pre-req
MGMT455,Has pre-req
MIL423,Has pre-req
MKTG311,Has pre-req
MKTG390,Has pre-req
MKTG395,Has pre-req
MKTG410,Has pre-req
MKTG415,Has pre-req
MKTG420,Has pre-req
